"supplier_id","supplier_name","country","latitude","longitude","supply_date","bulan","tanggal","total_supplied_value"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-01 00:00:00+00","2","1","788175"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-02 00:00:00+00","2","2","723220"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-03 00:00:00+00","2","3","990060"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-04 00:00:00+00","2","4","582370"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-05 00:00:00+00","2","5","613980"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-06 00:00:00+00","2","6","941265"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-07 00:00:00+00","2","7","718340"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-08 00:00:00+00","2","8","1032865"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-09 00:00:00+00","2","9","699185"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-10 00:00:00+00","2","10","809875"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-11 00:00:00+00","2","11","807735"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-12 00:00:00+00","2","12","611420"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-13 00:00:00+00","2","13","784690"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-14 00:00:00+00","2","14","801975"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-15 00:00:00+00","2","15","743735"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-16 00:00:00+00","2","16","523715"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-17 00:00:00+00","2","17","787660"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-18 00:00:00+00","2","18","518120"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-19 00:00:00+00","2","19","866840"
"1","Ortiz LLC ","Afghanistan","33.7680065","66.2385139","2023-02-20 00:00:00+00","2","20","97160"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-01 00:00:00+00","2","1","455470"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-02 00:00:00+00","2","2","993065"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-03 00:00:00+00","2","3","1088810"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-04 00:00:00+00","2","4","852400"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-05 00:00:00+00","2","5","1089785"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-06 00:00:00+00","2","6","989235"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-07 00:00:00+00","2","7","820605"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-08 00:00:00+00","2","8","911950"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-09 00:00:00+00","2","9","879330"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-10 00:00:00+00","2","10","874065"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-11 00:00:00+00","2","11","963840"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-12 00:00:00+00","2","12","819400"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-13 00:00:00+00","2","13","1010010"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-14 00:00:00+00","2","14","916670"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-15 00:00:00+00","2","15","916840"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-16 00:00:00+00","2","16","525600"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-17 00:00:00+00","2","17","869215"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-18 00:00:00+00","2","18","1038150"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-19 00:00:00+00","2","19","809915"
"2","Bryant, Carter and Williams ","China","35.000074","104.999927","2023-02-20 00:00:00+00","2","20","199650"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-01 00:00:00+00","2","1","653545"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-02 00:00:00+00","2","2","1109520"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-03 00:00:00+00","2","3","819990"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-04 00:00:00+00","2","4","840510"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-05 00:00:00+00","2","5","840815"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-06 00:00:00+00","2","6","1269445"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-07 00:00:00+00","2","7","823925"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-08 00:00:00+00","2","8","873480"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-09 00:00:00+00","2","9","1045130"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-10 00:00:00+00","2","10","989815"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-11 00:00:00+00","2","11","1025285"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-12 00:00:00+00","2","12","969345"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-13 00:00:00+00","2","13","1148660"
"3","Rice-Cook ","Colombia","2.8894434","-73.783892","2023-02-14 00:00:00+00","2","14","1092805"
